Step Rg Re
0 14.363380015416002067 48.77502496105479679
100 14.352226552470041199 48.486790362202903282
200 14.178500921979232174 46.959008405645199957
300 13.862841941149516956 44.969639685264702678
400 13.430907276736148148 43.094908384764799791
500 12.887639638292290201 40.149446168107196797
600 12.2841361053116227 37.221452076907098672
700 11.63502614204903729 34.56485699876340334
800 10.95792989886939317 31.599002056921900561
900 10.23719816457948717 28.981096561504099185
1000 9.4678529705074492284 26.293454323651999971
1100 8.641211272873169591 23.11883063125389981
1200 7.8073995618041687194 20.816573897521500669
1300 6.9575941289229508158 18.311858279988598497
1400 6.0915390799211124317 15.276044056373999425
1500 5.1963777377797182311 12.341582824712000743
1600 4.3028493595807395522 9.1261819765729192966
1700 3.4850107876742244528 6.6112724364575496949
1800 2.7026364247913070571 4.5903426621951401998
1900 2.0948144345969028635 2.6333980274769901442
2000 1.94984780664780466 1.8704678025465499847
2100 1.9701051760279537639 1.9030153479500899749
2200 2.1567637377151589462 2.0321696384715899342
2300 2.1516138610624508942 2.119848643409040001
2400 2.1015515904245321011 1.5350252067947101065
2500 2.1254654396006453787 2.0822390730107600554
2600 2.158133192931259714 3.1902948237024300049
2700 2.2407035343877472755 3.8225403859379198934
2800 2.3338478848347801176 4.0389165580727199867
2900 2.2656797786290994168 4.556063188701229727
3000 2.1371825918816451662 4.8823848375034799574
3100 2.0800137755783509874 5.435628199331749677
3200 2.0276944795038143177 5.3394820655401602494
3300 2.0517900063956999723 4.5659839778222099937
3400 2.1177126426133696668 3.4641092083743298957
3500 2.104580520361710505 3.4820514590682298817
3600 2.0909283085010375025 2.2177242343644700817
3700 2.0557250668735576049 1.4187393984847100903
3800 2.0967070795454212373 1.5530978647436799456
3900 2.2169185011699683585 1.458337907468010064
4000 2.206553827101595644 1.8992828118428699558
4100 2.0723361553775956345 2.060214044684709922
4200 2.0499092653032895406 2.1156652914433800028
4300 2.0029913390330169598 2.0963668499943199919
4400 2.088834205033980318 3.5999080833860599427
4500 2.0774290769428618297 4.3287209460436999464
4600 2.1466356833652691094 4.9318182027612396112
4700 2.2678746140386731867 6.2342696520269695881
4800 2.119786097347529541 6.2951062695767596722
4900 2.1846249635282291024 5.384772826200859619
5000 2.2976676171225238754 5.7876419166065300459
5100 2.2136700161827933542 5.0949687732410797736
5200 2.0610386454577054316 4.1946096727260400172
5300 2.0339039153399736115 3.5585513124506800153
5400 2.0286781291041480202 2.9487578725774401533
5500 1.9998235172968343853 2.784664946266460106
5600 2.0171124812379810365 2.8871914396836499961
5700 2.0236019084115892674 2.6137209442847399998
5800 2.0367142341917459092 3.1365848306349999319
5900 2.1034262502432850006 2.9575634572441398262
6000 2.1114927947382526874 3.6015983659231198821
6100 1.969303584810446317 4.0104370320654796345
6200 1.9798860347650768521 3.4861308155760197813
6300 2.0632204538035314734 2.9742113487540597916
6400 2.2116388361915269023 3.7732425053423801486
6500 2.1017670542209607731 3.7045327119756401579
6600 1.9855002876794130007 2.8574033101378302213
6700 1.9808393820247074402 3.6478824513340302182
6800 2.0205163845478066875 2.5653722503613800576
6900 2.0460605448360809078 2.200497192064339913
7000 2.1155555972274573406 3.866659677508430093
7100 2.145184583527438793 5.0474632151609997166
7200 2.1012565000024507889 5.9624972160702798263
7300 1.9781082527834934481 5.909496476526070019
7400 2.0170632698768176105 5.2284890175229303821
7500 2.0409755238654119225 4.5620159576108001431
7600 2.0507749381570188341 4.7864592208407001905
7700 2.087731175256716476 3.8188270219775399816
7800 2.0897167555669469152 4.696587584361579637
7900 2.2021910009280420972 4.9178413758032304415
8000 2.2607363021611428522 5.1681723268181096742
8100 2.0901198050568736697 5.3776606643822804088
8200 1.9529856476992240033 5.7466602644305400105
8300 1.9905652719452755495 6.1349782898177300794
8400 2.0876647582486049792 6.8918953706375400969
8500 2.1180645978491985382 5.4653820810870801239
8600 2.0681955654996508898 4.756498999081889778
8700 2.0662224932949539991 3.2475484100755100947
8800 2.0477535082046776083 2.9921832175769300655
8900 2.067631653603773767 2.896563202578839924
9000 2.0087651360202292139 2.4805288528552198457
9100 1.9851153710356037596 3.0325717305327302142
9200 2.0056966401702847058 3.1411753183419799385
9300 1.9693377095518471709 3.1463610958280301411
9400 1.9976568156903660167 3.2071581514352898168
9500 1.900936121055900152 3.5774156937591201633
9600 1.9806510817310076789 3.1440152262093699065
9700 1.9942468069395216101 3.3895477433030198888
9800 2.0898470256281038715 4.0756101874615495717
9900 2.1849470902156227226 3.8801733106793898642
10000 2.0968667568046699401 4.4195978110220703883
10100 1.9816880704785782008 4.8585598329727401889
10200 1.9850853647134141244 6.0315403618059200141
10300 1.995510646756936346 4.8470246157017902178
10400 2.1664602572367677169 4.1557073064968204079
10500 2.2887654396292207437 6.0901994009128399554
10600 2.4003644251600375625 7.5332160238651502127
10700 2.3610718614128556325 6.3648999966702204389
10800 2.294392580995950226 4.9838998221644699171
10900 2.2502121121199119003 5.1636781938621796328
11000 2.1831284893236588829 4.715539619792780357
11100 2.2262915062046677583 5.4829260494817502192
11200 2.1979363385306851519 5.3359793847014902468
11300 2.2632301871929669801 4.9374957285023901576
11400 2.2946091268554904552 4.8580961545792700207
11500 2.2427471016394178172 4.757864008272069789
11600 2.024257369655108274 3.7144434048086201194
11700 2.0759486185512807666 2.7375564807679699797
11800 2.0196496100983627464 2.2630508722393898324
11900 2.0651437716967464553 2.3897467876650200225
12000 2.1299297715142575527 2.3756954062821300511
12100 2.0865704791717849531 2.807217170714459975
12200 2.0004752434738541922 3.3208040518535297814
12300 2.0384476434212923657 3.5233587041282099506
12400 2.0262958213410993125 4.2927276589373999371
12500 2.0617843540312295048 4.0040182014327596605
12600 2.0385999191700516775 3.9967604560179599282
12700 1.8939047925783643045 3.5191079193148198101
12800 1.9650173482665342917 4.1624379392220403062
12900 1.9486535203499870672 4.6130719086817801866
13000 1.9243305262836716274 4.3988235483017597005
13100 1.9639803807853297712 3.7202775387472302171
13200 2.0336550524527052808 3.8920734702520300985
13300 1.9305113983616166706 4.4173395314953500801
13400 2.0326640524804782117 4.3778684830808201056
13500 1.9067331210995759339 3.9832792495370599184
13600 1.9515657717944605576 3.52938919119522998
13700 1.9696809291966914657 3.9122317126438601598
13800 2.0114678356482103005 4.3941349754873701983
13900 1.9787911377551201664 4.7169922269675801374
14000 1.9763393079998612389 3.4055956614909401736
14100 1.9376763688653020345 3.1530842977439301755
14200 1.9488053634666151481 2.9737683035908499818
14300 1.9219491021102552697 2.9041695175419701691
14400 1.9482992535984864357 3.100123463981950156
14500 1.9382347032511029195 2.9441075032317498561
14600 2.0454037462572949302 4.1184880781176103071
14700 1.9968944690765879635 3.9935624187870901736
14800 1.9610592855120398958 4.327084358373359585
14900 1.9815996927339041278 3.3495585685009801047
15000 2.0292889829106339761 2.7572541958806597862
15100 2.1024634559029311554 2.21952330870970993
15200 1.9853338826373299053 2.1406818362772201958
15300 1.9907869020226076628 2.6245862094763001693
15400 1.9607402470535368888 3.7602085944486298708
15500 1.9950166307273506927 3.4690171196253101193
15600 2.0030230631408936226 3.5559869771021999085
15700 2.0668708832293045674 2.9664339467704401443
15800 1.9751184933958962908 3.1498300379337798027
15900 2.0057539066367837677 3.2711654603764301896
16000 2.0833953693711260158 2.347876547656039925
16100 1.9870987881850763479 2.7844151404837500507
16200 1.8945732277556348588 2.3984994244517401363
16300 1.9817994426633709359 1.7454394959078900484
16400 2.0810341664270159967 2.1305577632741501404
16500 2.0692796337961736342 2.2317649332079301239
16600 2.140382817397833648 1.3212863455454200157
16700 2.0985227719761834209 1.2645839620969900885
16800 2.0505571781948281895 1.1355438532193600221
16900 1.9438526721848166101 1.2867904137084000826
17000 1.9168986105995089453 1.2342489132243499306
17100 1.9293793275630104489 2.947335979885080004
17200 1.9449270236803157808 3.1945456660599398369
17300 1.9739056511417316653 3.5375366560290100182
17400 2.0321504438468056541 3.0227839087767898185
17500 2.0614955526405189801 3.6868966533262299556
17600 1.9675815657699871064 3.3560374433949200501
17700 2.0451480038085647628 3.0446040275451098367
17800 2.0716877687014663145 2.4936649759875901822
17900 2.0083838147362040871 1.6164003262796999838
18000 1.9703652912886151505 2.0669907932139999218
18100 1.9840205597151854278 2.5888002669740202144
18200 1.9803158339743640592 2.413825827503050192
18300 2.0507645193960231111 1.6810199427163901031
18400 2.0071897324479310853 2.2045773024278698671
18500 1.9885635406345232301 2.9899298905786100278
18600 1.968969004874609352 3.7695139617837201129
18700 1.9061686756811868637 2.9828936299760200335
18800 2.0524639099059727165 3.0317532225509999932
18900 1.9834790021260539916 1.7715619336781900373
19000 1.9866600048756666297 1.2815610799027499223
19100 2.0126734363645994996 1.9861390956113800232
19200 2.0310819168030009862 2.2282658473902801077
19300 1.9131636205240778459 1.8948903462580000134
19400 2.0687061419239247684 1.2533322833849001032
19500 1.9919680497623855064 1.12236269639028996
19600 1.975224218579673563 1.2946499498872499068
19700 1.9441616617260815136 1.4138872767374599526
19800 1.9334939327725670921 1.9270705544316300006
19900 1.9867440501243083251 1.7889378242414200049
20000 1.8871056401166210748 1.7717354631714199442
20100 1.9126228833389129491 2.3345743255835897934
20200 1.8960653155774380707 1.9950761410107200611
20300 1.8711420867177701588 2.0002335825197401498
20400 1.9315526817050772124 2.5830029699678798139
20500 1.8747165211980718613 1.9373992512401099209
20600 1.9436772940353586048 1.7041992862735400038
20700 1.9953444209084800764 1.0811326373981600124
20800 2.0164336505075324268 1.1760478668827401005
20900 1.9728953098900543495 1.2373875060513899182
21000 2.0161085870348447457 1.306246320993740051
21100 1.9623051887297779938 2.5430278094632701169
