epsilon,Rg
0.5,3.958711362121975
0.6,2.931724860788606
0.7,2.8533668085082122
0.8,2.516578855143982
0.9,2.338132044691126
1.0,2.30111145922621
1.1,2.2237252236839313
1.2,2.215859092583293
1.3,2.164431523342851
1.4,2.1414804141740795
1.5,2.1189821635030373
1.6,2.116024724746124
1.7,2.1034032614620783
1.8,2.082687187260396
1.9,2.0638377106710855
2.0,2.0463315545862386
2.1,2.0413102762511692
2.2,2.0393102334494473
2.3,2.021322734985818
2.4,2.013675376656191
2.5,2.007754568258074
2.6,1.9964118986997483
2.7,1.998664324848598
2.8,1.9902335451412767
2.9,1.983469196264006
3.0,1.978344655606101
